Name,CarName,fueltype, price ,model,used/new,accident,milage,engine,model_year,ext_col,int_col
Sheet1,mazda,gasoline," $6,695.00 ", rx-4,new,None reported,0 mi.,0.091,null,null,null
Sheet1,mazda ,gasoline," $7,395.00 ",glc deluxe,new,None reported,0 mi.,0.091,null,null,null
Sheet1,mazda ,gasoline," $10,945.00 ",626,new,None reported,0 mi.,0.07,null,null,null
Sheet1,mazda ,gasoline," $11,845.00 ",glc,new,None reported,0 mi.,0.07,null,null,null
Sheet1,mazda ,gasoline," $13,645.00 ",rx-7 gs,new,None reported,0 mi.,0.07,null,null,null
Sheet1,mazda ,gasoline," $15,645.00 ",glc 4,new,None reported,0 mi.,0.08,null,null,null
Sheet1,mazda ,gasoline," $8,845.00 ",626,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mazda ,gasoline," $8,495.00 ",glc custom ,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mazda ,gasoline," $10,595.00 ",glc custom,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mazda ,gasoline," $10,245.00 ",rx-4,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mazda ,diesel," $10,795.00 ",glc deluxe,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mazda ,gasoline," $11,245.00 ",626,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mazda ,gasoline," $18,280.00 ",glc,new,None reported,0 mi.,0.14,null,null,null
Sheet1,mazda ,diesel," $18,344.00 ",rx-7 gs,new,None reported,0 mi.,0.134,null,null,null
Sheet1,buick ,diesel," $25,552.00 ",electra 225 custom,new,None reported,0 mi.,0.183,null,null,null
Sheet1,buick ,diesel," $28,248.00 ",century luxus (sw),new,None reported,0 mi.,0.183,null,null,null
Sheet1,buick ,diesel," $28,176.00 ",century,new,None reported,0 mi.,0.183,null,null,null
Sheet1,buick ,diesel," $31,600.00 ",skyhawk,new,None reported,0 mi.,0.183,null,null,null
Sheet1,buick ,gasoline," $34,184.00 ",opel isuzu deluxe,new,None reported,0 mi.,0.234,null,null,null
Sheet1,buick ,gasoline," $35,056.00 ",skylark,new,None reported,0 mi.,0.234,null,null,null
Sheet1,buick ,gasoline," $40,960.00 ",century special,new,None reported,0 mi.,0.308,null,null,null
Sheet1,buick,gasoline," $45,400.00 ", regal sport coupe (turbo),new,None reported,0 mi.,0.304,null,null,null
Sheet1,mercury ,gasoline," $16,503.00 ",cougar,new,None reported,0 mi.,0.14,null,null,null
Sheet1,mitsubishi ,gasoline," $5,389.00 ",mirage,new,None reported,0 mi.,0.092,null,null,null
Sheet1,mitsubishi ,gasoline," $6,189.00 ",lancer,new,None reported,0 mi.,0.092,null,null,null
Sheet1,mitsubishi ,gasoline," $6,669.00 ",outlander,new,None reported,0 mi.,0.092,null,null,null
Sheet1,mitsubishi ,gasoline," $7,689.00 ",g4,new,None reported,0 mi.,0.098,null,null,null
Sheet1,mitsubishi ,gasoline," $9,959.00 ",mirage g4,new,None reported,0 mi.,0.11,null,null,null
Sheet1,mitsubishi ,gasoline," $8,499.00 ",g4,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mitsubishi ,gasoline," $12,629.00 ",outlander,new,None reported,0 mi.,0.156,null,null,null
Sheet1,mitsubishi ,gasoline," $14,869.00 ",g4,new,None reported,0 mi.,0.156,null,null,null
Sheet1,mitsubishi ,gasoline," $14,489.00 ",mirage g4,new,None reported,0 mi.,0.156,null,null,null
Sheet1,mitsubishi ,gasoline," $6,989.00 ",montero,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mitsubishi ,gasoline," $8,189.00 ",pajero,new,None reported,0 mi.,0.122,null,null,null
Sheet1,mitsubishi ,gasoline," $9,279.00 ",outlander,new,None reported,0 mi.,0.11,null,null,null
Sheet1,mitsubishi ,gasoline," $9,279.00 ",mirage g4,new,None reported,0 mi.,0.11,null,null,null
Sheet1,Nissan ,gasoline," $5,499.00 ",versa,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan,diesel," $7,099.00 ", gt-r,new,None reported,0 mi.,0.103,null,null,null
Sheet1,nissan ,gasoline," $6,649.00 ",rogue,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $6,849.00 ",latio,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $7,349.00 ",titan,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $7,299.00 ",leaf,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $7,799.00 ",juke,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $7,499.00 ",latio,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $7,999.00 ",note,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $8,249.00 ",clipper,new,None reported,0 mi.,0.097,null,null,null
Sheet1,nissan ,gasoline," $8,949.00 ",rogue,new,None reported,0 mi.,0.12,null,null,null
Sheet1,nissan ,gasoline," $9,549.00 ",nv200,new,None reported,0 mi.,0.12,null,null,null
Sheet1,nissan ,gasoline," $13,499.00 ",dayz,new,None reported,0 mi.,0.181,null,null,null
Sheet1,nissan ,gasoline," $14,399.00 ",fuga,new,None reported,0 mi.,0.181,null,null,null
Sheet1,nissan ,gasoline," $13,499.00 ",otti,new,None reported,0 mi.,0.181,null,null,null
Sheet1,nissan ,gasoline," $17,199.00 ",teana,new,None reported,0 mi.,0.181,null,null,null
Sheet1,nissan ,gasoline," $19,699.00 ",kicks,new,None reported,0 mi.,0.181,null,null,null
Sheet1,nissan ,gasoline," $18,399.00 ",clipper,new,None reported,0 mi.,0.181,null,null,null
Sheet1,peugeot ,gasoline," $11,900.00 ",504,new,None reported,0 mi.,0.12,null,null,null
Sheet1,peugeot ,diesel," $13,200.00 ",304,new,None reported,0 mi.,0.152,null,null,null
Sheet1,peugeot ,gasoline," $12,440.00 ",504 (sw),new,None reported,0 mi.,0.12,null,null,null
Sheet1,peugeot ,diesel," $13,860.00 ",504,new,None reported,0 mi.,0.152,null,null,null
Sheet1,peugeot ,gasoline," $15,580.00 ",504,new,None reported,0 mi.,0.12,null,null,null
Sheet1,peugeot ,diesel," $16,900.00 ",604sl,new,None reported,0 mi.,0.152,null,null,null
Sheet1,peugeot ,gasoline," $16,695.00 ",504,new,None reported,0 mi.,0.12,null,null,null
Sheet1,peugeot ,diesel," $17,075.00 ",505s turbo diese,new,None reported,0 mi.,0.152,null,null,null
Sheet1,peugeot ,gasoline," $16,630.00 ",504,new,None reported,0 mi.,0.12,null,null,null
Sheet1,peugeot ,diesel," $17,950.00 ",504,new,None reported,0 mi.,0.152,null,null,null
Sheet1,peugeot ,gasoline," $18,150.00 ",604sl,new,None reported,0 mi.,0.134,null,null,null
Sheet1,plymouth ,gasoline," $5,572.00 ",fury iii,new,None reported,0 mi.,0.09,null,null,null
Sheet1,plymouth ,gasoline," $7,957.00 ",cricket,new,None reported,0 mi.,0.098,null,null,null
Sheet1,plymouth ,gasoline," $6,229.00 ",fury iii,new,None reported,0 mi.,0.09,null,null,null
Sheet1,plymouth ,gasoline," $6,692.00 ",satellite custom (sw),new,None reported,0 mi.,0.09,null,null,null
Sheet1,plymouth fury gran sedan,gasoline," $7,609.00 ", fury gran sedan,new,None reported,0 mi.,0.098,null,null,null
Sheet1,plymouth ,gasoline," $8,921.00 ",valiant,new,None reported,0 mi.,0.122,null,null,null
Sheet1,plymouth ,gasoline," $12,764.00 ",duster,new,None reported,0 mi.,0.156,null,null,null
Sheet1,porsche ,gasoline," $22,018.00 ",macan,new,None reported,0 mi.,0.151,null,null,null
Sheet1,porcshce ,gasoline," $32,528.00 ",panamera,new,None reported,0 mi.,0.194,null,null,null
Sheet1,porsche ,gasoline," $34,028.00 ",cayenne,new,None reported,0 mi.,0.194,null,null,null
Sheet1,porsche ,gasoline," $37,028.00 ",boxter,new,None reported,0 mi.,0.194,null,null,null
Sheet1,porsche ,gasoline," $31,400.50 ",cayenne,new,None reported,0 mi.,0.203,null,null,null
Sheet1,renault ,gasoline," $9,295.00 ",12tl,new,None reported,0 mi.,0.132,null,null,null
Sheet1,renault,gasoline," $9,895.00 ", 5 gtl,new,None reported,0 mi.,0.132,null,null,null
Sheet1,saab ,gasoline," $11,850.00 ",99le,new,None reported,0 mi.,0.121,null,null,null
Sheet1,saab ,gasoline," $12,170.00 ",99le,new,None reported,0 mi.,0.121,null,null,null
Sheet1,saab ,gasoline," $15,040.00 ",99le,new,None reported,0 mi.,0.121,null,null,null
Sheet1,saab ,gasoline," $15,510.00 ",99gle,new,None reported,0 mi.,0.121,null,null,null
Sheet1,saab ,gasoline," $18,150.00 ",99gle,new,None reported,0 mi.,0.121,null,null,null
Sheet1,saab ,gasoline," $18,620.00 ",99e,new,None reported,0 mi.,0.121,null,null,null
Sheet1,subaru,gasoline," $5,118.00 ",dl,new,None reported,0 mi.,0.097,null,null,null
Sheet1,subaru ,gasoline," $7,053.00 ",dl,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $7,603.00 ",dl,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru,gasoline," $7,126.00 ",dl,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $7,775.00 ",brz,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $9,960.00 ",baja,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $9,233.00 ",r1,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $11,259.00 ",r2,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $7,463.00 ",trezia,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $10,198.00 ",tribeca,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $8,013.00 ",dl,new,None reported,0 mi.,0.108,null,null,null
Sheet1,subaru ,gasoline," $11,694.00 ",dl,new,None reported,0 mi.,0.108,null,null,null
Sheet1,toyota ,gasoline," $5,348.00 ",corona mark ii,new,None reported,0 mi.,0.092,null,null,null
Sheet1,toyota ,gasoline," $6,338.00 ",corona,new,None reported,0 mi.,0.092,null,null,null
Sheet1,toyota ,gasoline," $6,488.00 ",corolla 1200,new,None reported,0 mi.,0.092,null,null,null
Sheet1,toyota ,gasoline," $6,918.00 ",corona hardtop,new,None reported,0 mi.,0.092,null,null,null
Sheet1,toyota ,gasoline," $7,898.00 ",corolla 1600 (sw),new,None reported,0 mi.,0.092,null,null,null
Sheet1,toyota ,gasoline," $8,778.00 ",carina,new,None reported,0 mi.,0.092,null,null,null
Sheet1,toyota ,gasoline," $6,938.00 ",mark ii,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota  ,gasoline," $7,198.00 ",corolla 1200,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,diesel," $7,898.00 ",corolla,new,None reported,0 mi.,0.11,null,null,null
Sheet1,toyota ,diesel," $7,788.00 ",corolla,new,None reported,0 mi.,0.11,null,null,null
Sheet1,toyota ,gasoline," $7,738.00 ",corolla,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $8,358.00 ",corolla,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $9,258.00 ",mark ii,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $8,058.00 ",corolla liftback,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $8,238.00 ",corolla,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $9,298.00 ",celica gt liftback,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $9,538.00 ",corolla ,new,None reported,0 mi.,0.098,null,null,null
Sheet1,toyota ,gasoline," $8,449.00 ",corolla liftback,new,None reported,0 mi.,0.146,null,null,null
Sheet1,toyota,gasoline," $9,639.00 ",corolla,new,None reported,0 mi.,0.146,null,null,null
Sheet1,toyota ,gasoline," $9,989.00 ",starlet,new,None reported,0 mi.,0.146,null,null,null
Sheet1,toyota ,gasoline," $11,199.00 ",tercel,new,None reported,0 mi.,0.146,null,null,null
Sheet1,toyota ,gasoline," $11,549.00 ",corolla,new,None reported,0 mi.,0.146,null,null,null
Sheet1,toyota ,gasoline," $17,669.00 ",cressida,new,None reported,0 mi.,0.146,null,null,null
Sheet1,toyota ,gasoline," $8,948.00 ",corolla,new,None reported,0 mi.,0.122,null,null,null
Sheet1,toyota ,diesel," $10,698.00 ",celica gt,new,None reported,0 mi.,0.11,null,null,null
Sheet1,toyota ,gasoline," $9,988.00 ",corona,new,None reported,0 mi.,0.122,null,null,null
Sheet1,toyota ,gasoline," $10,898.00 ",corolla,new,None reported,0 mi.,0.122,null,null,null
Sheet1,toyota ,gasoline," $11,248.00 ",mark ii,new,None reported,0 mi.,0.122,null,null,null
Sheet1,toyota ,gasoline," $16,558.00 ",corolla liftback,new,None reported,0 mi.,0.171,null,null,null
Sheet1,toyota ,gasoline," $15,998.00 ",corona,new,None reported,0 mi.,0.171,null,null,null
Sheet1,toyota ,gasoline," $15,690.00 ",starlet,new,None reported,0 mi.,0.171,null,null,null
Sheet1,toyota ,gasoline," $15,750.00 ",tercel,new,None reported,0 mi.,0.161,null,null,null
Sheet1,vokswagen ,diesel," $7,775.00 ",rabbit,new,None reported,0 mi.,0.097,null,null,null
Sheet1,volkswagen ,gasoline," $7,975.00 ",1131 deluxe sedan,new,None reported,0 mi.,0.109,null,null,null
Sheet1,volkswagen ,diesel," $7,995.00 ",model 111,new,None reported,0 mi.,0.097,null,null,null
Sheet1,volkswagen ,gasoline," $8,195.00 ",type 3,new,None reported,0 mi.,0.109,null,null,null
Sheet1,volkswagen ,gasoline," $8,495.00 ",411 (sw),new,None reported,0 mi.,0.109,null,null,null
Sheet1,volkswagen ,diesel," $9,495.00 ",super beetle,new,None reported,0 mi.,0.097,null,null,null
Sheet1,volkswagen ,gasoline," $9,995.00 ",dasher,new,None reported,0 mi.,0.109,null,null,null
Sheet1,vw ,gasoline," $11,595.00 ",dasher,new,None reported,0 mi.,0.109,null,null,null
Sheet1,vw ,gasoline," $9,980.00 ",rabbit,new,None reported,0 mi.,0.109,null,null,null
Sheet1,volkswagen ,gasoline," $13,295.00 ",rabbit,new,None reported,0 mi.,0.136,null,null,null
Sheet1,volkswagen ,diesel," $13,845.00 ",rabbit custom,new, None reported,0 mi.,0.097,null,null,null
Sheet1,volkswagen ,gasoline," $12,290.00 ",dasher,new,None reported,0 mi.,0.109,null,null,null
Sheet1,volvo ,gasoline," $12,940.00 ",rabbit,new,None reported,0 mi.,0.141,null,null,null
Sheet1,volvo 144ea,gasoline," $13,415.00 ",144ea,new,None reported,0 mi.,0.141,null,null,null
Sheet1,volvo ,gasoline," $15,985.00 ",244dl,new,None reported,0 mi.,0.141,null,null,null
Sheet1,volvo ,gasoline," $16,515.00 ",245,new,None reported,0 mi.,0.141,null,null,null
Sheet1,volvo ,gasoline," $18,420.00 ", 264gl,new,None reported,0 mi.,0.13,null,null,null
Sheet1,volvo ,gasoline," $18,950.00 ",diesel,new,None reported,0 mi.,0.13,null,null,null
Sheet1,volvo ,gasoline," $16,845.00 ",145e (sw),new,None reported,0 mi.,0.141,null,null,null
Sheet1,volvo ,gasoline," $19,045.00 ",144ea,new,None reported,0 mi.,0.141,null,null,null
Sheet1,volvo ,gasoline," $21,485.00 ",244dl,new,None reported,0 mi.,0.173,null,null,null
Sheet1,volvo ,diesel," $22,470.00 ",246,new,None reported,0 mi.,0.145,null,null,null
Sheet1,volvo ,gasoline," $22,625.00 ",264gl,new,None reported,0 mi.,0.141,null,null,null
Sheet1,,,,,,,,,,,
Sheet2,Ford,E85 Flex Fuel," $10,300  ",Utility Police Interceptor Base,used,At least 1 accident or damage reported,"51,000 mi.",300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,2013,Black,Black
Sheet2,Hyundai,Gasoline," $38,005  ",Palisade SEL,used,At least 1 accident or damage reported,"34,742 mi.",3.8L V6 24V GDI DOHC,2021,Moonlight Cloud,Gray
Sheet2,Lexus,Gasoline," $54,598  ",RX 350 RX 350,used,None reported,"22,372 mi.",3.5 Liter DOHC,2022,Blue,Black
Sheet2,INFINITI,Hybrid," $15,500  ",Q50 Hybrid Sport,used,None reported,"88,900 mi.",354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,2015,Black,Black
Sheet2,Audi,Gasoline," $34,999  ",Q3 45 S line Premium Plus,used,None reported,"9,835 mi.",2.0L I4 16V GDI DOHC Turbo,2021,Glacier White Metallic,Black
Sheet2,Acura,Gasoline," $14,798  ",ILX 2.4L,used,None reported,"136,397 mi.",2.4 Liter,2016,Silver,Ebony.
Sheet2,Audi,Gasoline," $31,000  ",S3 2.0T Premium Plus,used,None reported,"84,000 mi.",292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,2017,Blue,Black
Sheet2,BMW,Gasoline," $7,300  ",740 iL,used,None reported,"242,000 mi.",282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,2001,Green,Green
Sheet2,Lexus,Gasoline," $41,927  ",RC 350 F Sport,used,None reported,"23,436 mi.",311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,2021,Black,Black
Sheet2,Land,Gasoline," $73,897  ",Rover Range Rover Sport 3.0 Supercharged HST,used,None reported,"27,608 mi.",V6,2021,Fuji White,Black
Sheet2,Aston,Gasoline," $184,606  ",Martin DBS Superleggera,used,None reported,"22,770 mi.",715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,2019,Silver,Black
Sheet2,Toyota,Gasoline," $53,500  ",Supra 3.0 Premium,used,None reported,"12,500 mi.",382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,2021,Yellow,Black
Sheet2,Lincoln,Gasoline," $62,000  ",Aviator Reserve AWD,used,None reported,"18,196 mi.",400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,2022,Black,Brown
Sheet2,Jaguar,Gasoline," $47,998  ",F-TYPE,used,None reported,"15,903 mi.",2.0 Liter Supercharged,2020,Silver,Black
Sheet2,Land,Gasoline," $29,990  ",Rover LR4 HSE,used,None reported,"79,800 mi.",375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,2013,White,Black
Sheet2,Mercedes-Benz,Gasoline," $250,000  ",Metris Base,used,None reported,"1,685 mi.",2.0L I4 16V GDI DOHC Turbo,2021,Gray,White
Sheet2,Dodge,Gasoline," $16,800  ",Challenger SXT,used,None reported,"61,074 mi.",305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,2013,Black,Gray
Sheet2,Nissan,Gasoline," $11,000  ",350Z Enthusiast,used,None reported,"74,000 mi.",287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,2003,Purple,Gray
Sheet2,Jaguar,Gasoline," $68,750  ",F-TYPE R,used,None reported,"35,250 mi.",550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,2018,Green,Black
Sheet2,Genesis,Gasoline," $60,000  ",GV70 3.5T Sport,used,None reported,"5,400 mi.",375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,2023,Green,Beige
Sheet2,Chevrolet,E85 Flex Fuel," $4,500  ",S-10 LS,used,None reported,"133,510 mi.",120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,2000,Blue,Black
Sheet2,BMW,Gasoline," $38,598  ",440 Gran Coupe 440i xDrive,used,None reported,"25,990 mi.",3.0 Liter Turbo,2020,White,Beige
Sheet2,Ford,Gasoline," $58,504  ",F-150 XLT,used,None reported,"2,823 mi.",3.5L V6 24V PDI DOHC Twin Turbo,2023,Iconic Silver Metallic,Black
Sheet2,Chevrolet,Gasoline," $61,000  ",Suburban RST,used,None reported,"52,000 mi.",355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,2021,Blue,Black
Sheet2,Hyundai,Gasoline," $32,300  ",Elantra N Base,used,None reported,"11,650 mi.",276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,2022,Black,Black
Sheet2,Nissan,Gasoline," $13,998  ",Sentra SR,used,None reported,"96,541 mi.",1.8 Liter,2016,Blue,Black
Sheet2,Mercedes-Benz,Gasoline," $59,995  ",AMG CLA 45 Base 4MATIC,used,None reported,"17,500 mi.",382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,2021,Gray,Black
Sheet2,BMW,Gasoline," $25,700  ",650 Gran Coupe i xDrive,used,None reported,"69,000 mi.",445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,2015,Gray,Black
Sheet2,Audi,E85 Flex Fuel," $21,375  ",Q5 2.0T Premium Plus,used,None reported,"81,880 mi.",2.0L I4 16V GDI DOHC Turbo Flexible Fuel,2017,Mythos Black Metallic,Black
Sheet2,Mercedes-Benz,Gasoline," $48,000  ",AMG C 43 Base 4MATIC,used,None reported,"28,800 mi.",362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,2018,Silver,Black
Sheet2,Dodge,Gasoline," $10,900  ",Ram 1500 Laramie Mega Cab,used,At least 1 accident or damage reported,"300,183 mi.",345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,2006,Silver,Gray
Sheet2,BMW,Hybrid," $24,998  ",i3 120Ah w/Range Extender,used,None reported,"35,035 mi.",120 AH,2020,Black,Black
Sheet2,Kia,Gasoline," $5,999  ",Sorento SX,used,None reported,"171,000 mi.",276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,2011,Black,Black
Sheet2,Lexus,Gasoline," $46,900  ",LX 570 Base,used,None reported,"118,700 mi.",383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,2016,Black,Beige
Sheet2,Jeep,Gasoline," $15,900  ",New Compass Trailhawk,used,None reported,"119,000 mi.",180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,2017,Red,Black
Sheet2,BMW,Gasoline," $33,598  ",340 i,used,None reported,"44,261 mi.",3.0 Liter Turbo,2018,Gray,Black
Sheet2,Audi,Gasoline," $8,999  ",A4 2.0T Premium Plus quattro,used,None reported,"125,575 mi.",211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,2012,Silver,Black
