CarName,fueltype,price,engine
volvo ,gasoline,12940.0,0.141
volvo 144ea,gasoline,13415.0,0.141
volvo ,gasoline,15985.0,0.141
volvo ,gasoline,16515.0,0.141
volvo ,gasoline,18420.0,0.13
volvo ,gasoline,18950.0,0.13
volvo ,gasoline,16845.0,0.141
volvo ,gasoline,19045.0,0.141
volvo ,gasoline,21485.0,0.173
volvo ,diesel,22470.0,0.145
volvo ,gasoline,22625.0,0.141
