CarName,fueltype,price,accident,milage,model_year,ext_col,int_col,HP,motor_size,cylinders
Mercedes-Benz,gasoline,29900.0,yes,33000.0,2018.0,Red,Black,241.0,2.0,4.0
BMW,gasoline,24950.0,no,76009.0,2016.0,White,Beige,300.0,3.0,6.0
Lexus,gasoline,32900.0,no,48000.0,2015.0,Orange,Red,306.0,3.5,6.0
BMW,gasoline,8900.0,no,91420.0,2005.0,Black,Black,215.0,2.5,6.0
Toyota,gasoline,4995.0,yes,124756.0,2003.0,Beige,Beige,130.0,1.8,4.0
GMC,gasoline,7900.0,no,116226.0,2012.0,Black,Black,288.0,3.6,6.0
BMW,hybrid,86000.0,no,41500.0,2019.0,White,Black,369.0,1.5,3.0
Lexus,hybrid,17995.0,no,87001.0,2013.0,Gold,Beige,200.0,2.5,4.0
Chevrolet,gasoline,14500.0,yes,139804.0,2014.0,White,Gray,195.0,4.3,6.0
Jeep,gasoline,47500.0,no,27300.0,2022.0,Green,Black,285.0,3.6,6.0
BMW,gasoline,27000.0,no,36812.0,2014.0,White,Beige,240.0,2.0,4.0
Land,gasoline,18000.0,yes,144000.0,2016.0,Black,Black,340.0,3.0,6.0
Cadillac,gasoline,28900.0,no,44500.0,2019.0,Blue,White,237.0,2.0,4.0
Bentley,gasoline,47350.0,no,8332.0,2005.0,White,Beige,400.0,6.75,8.0
Mercedes-Benz,gasoline,36500.0,no,69000.0,2016.0,Black,Brown,550.0,5.5,8.0
Ford,gasoline,6600.0,yes,105000.0,2013.0,White,Black,300.0,3.7,6.0
Audi,gasoline,9995.0,no,92203.0,2011.0,Red,Beige,211.0,2.0,4.0
Nissan,gasoline,69500.0,no,15600.0,2010.0,White,Black,485.0,3.8,6.0
Toyota,gasoline,9995.0,yes,72348.0,2010.0,Red,Gray,132.0,1.8,4.0
Porsche,hybrid,23000.0,yes,96000.0,2016.0,White,Red,416.0,3.0,6.0
INFINITI,hybrid,28998.0,yes,52750.0,2016.0,White,Black,360.0,3.5,6.0
Audi,gasoline,9995.0,no,98527.0,2015.0,Black,Black,280.0,3.0,6.0
Audi,gasoline,25999.0,no,72922.0,2012.0,White,Black,265.0,2.0,4.0
BMW,gasoline,30000.0,no,41000.0,2015.0,Black,Black,445.0,4.4,8.0
Mercedes-Benz,gasoline,40000.0,no,62000.0,2016.0,Black,Black,469.0,4.0,8.0
Land,gasoline,9950.0,yes,153843.0,2006.0,Red,Beige,300.0,4.4,8.0
Ford,gasoline,9888.0,no,194454.0,2015.0,White,Black,169.0,2.5,4.0
Lexus,gasoline,89999.0,no,21000.0,2021.0,White,Black,383.0,5.7,8.0
Porsche,gasoline,86900.0,no,18494.0,2013.0,Black,Black,400.0,3.8,6.0
Dodge,gasoline,12990.0,no,218000.0,2006.0,Red,Gray,330.0,5.7,8.0
Nissan,gasoline,36500.0,yes,67800.0,2021.0,Silver,Black,400.0,5.6,8.0
Porsche,gasoline,42999.0,yes,79000.0,2014.0,Red,Black,275.0,2.7,6.0
Chevrolet,gasoline,12000.0,yes,66840.0,2006.0,White,Gray,303.0,5.3,8.0
BMW,gasoline,32000.0,no,86000.0,2013.0,Blue,White,560.0,4.4,8.0
Chevrolet,gasoline,12500.0,no,75000.0,2005.0,Black,Black,240.0,3.8,6.0
Land,gasoline,22800.0,yes,84000.0,2015.0,Beige,Black,240.0,2.0,4.0
Audi,gasoline,39999.0,no,52500.0,2017.0,Gray,Gray,450.0,4.0,8.0
GMC,gasoline,7500.0,no,120000.0,2011.0,Silver,Gray,288.0,3.6,6.0
Ferrari,gasoline,149900.0,no,19987.0,2016.0,Black,Brown,651.0,6.3,12.0
Kia,gasoline,23950.0,yes,36486.0,2017.0,Black,Beige,420.0,5.0,8.0
Ford,gasoline,12500.0,no,162100.0,2013.0,Black,Gray,255.0,5.4,8.0
Subaru,gasoline,24000.0,no,32744.0,2020.0,Black,Gray,182.0,2.5,4.0
Porsche,gasoline,26000.0,yes,54000.0,2012.0,White,Black,300.0,3.6,6.0
Toyota,gasoline,8500.0,yes,202055.0,2008.0,Silver,Gray,236.0,4.0,6.0
RAM,diesel,65000.0,no,65000.0,2019.0,Black,Black,370.0,6.7,6.0
Cadillac,gasoline,10499.0,no,49620.0,2010.0,White,Gray,275.0,4.6,8.0
Toyota,gasoline,26500.0,no,213000.0,1997.0,White,Beige,212.0,4.5,6.0
Nissan,gasoline,114000.0,no,16010.0,2020.0,White,Black,565.0,3.8,6.0
Audi,gasoline,36499.0,no,68000.0,2021.0,Blue,Black,248.0,2.0,4.0
Lexus,gasoline,25000.0,no,82000.0,1999.0,White,Beige,230.0,4.7,8.0
Ford,gasoline,7000.0,yes,129000.0,2012.0,White,Gray,171.0,2.5,4.0
Lexus,gasoline,30000.0,yes,106731.0,2014.0,White,Beige,360.0,4.6,8.0
Ford,gasoline,45500.0,no,34672.0,2019.0,White,White,400.0,3.5,6.0
Chevrolet,gasoline,8950.0,no,55900.0,2010.0,Beige,Beige,252.0,3.6,6.0
Audi,gasoline,17000.0,no,82000.0,2015.0,White,Brown,220.0,2.0,4.0
Scion,gasoline,7100.0,yes,177600.0,2013.0,Silver,Black,180.0,2.5,4.0
Lincoln,hybrid,15500.0,no,78568.0,2014.0,Blue,Beige,188.0,2.0,4.0
Ford,gasoline,43000.0,no,95000.0,2018.0,White,Gray,275.0,3.7,6.0
Volvo,gasoline,11500.0,yes,88300.0,2011.0,Blue,Beige,235.0,3.2,6.0
Chevrolet,gasoline,27499.0,yes,98000.0,2013.0,Silver,Black,320.0,5.3,8.0
Audi,gasoline,76000.0,no,20675.0,2018.0,Gray,Gray,400.0,2.5,5.0
Lincoln,gasoline,10900.0,no,95000.0,2008.0,Black,Black,300.0,5.4,8.0
Hyundai,gasoline,6250.0,yes,107000.0,2010.0,Blue,Blue,138.0,2.0,4.0
Audi,gasoline,24700.0,yes,60000.0,2016.0,Black,Black,354.0,3.0,6.0
Mitsubishi,gasoline,34999.0,no,33000.0,2012.0,Black,Black,291.0,2.0,4.0
Mercedes-Benz,gasoline,63500.0,no,108500.0,2016.0,White,Beige,523.0,6.0,12.0
Nissan,gasoline,149500.0,no,37800.0,2017.0,Orange,Orange,565.0,3.8,6.0
Ford,gasoline,65900.0,no,26500.0,2022.0,White,Beige,440.0,3.5,6.0
Lexus,gasoline,76900.0,no,19050.0,2019.0,Black,Beige,383.0,5.7,8.0
Chevrolet,gasoline,35800.0,no,52000.0,2020.0,White,Black,310.0,3.6,6.0
Mercedes-Benz,diesel,54999.0,yes,65000.0,2014.0,Black,Black,188.0,3.0,6.0
BMW,gasoline,6730.0,no,140000.0,2004.0,Black,Beige,225.0,3.0,6.0
Ford,gasoline,14950.0,yes,75600.0,2018.0,Blue,Black,181.0,1.5,4.0
Lincoln,gasoline,12000.0,no,117292.0,2015.0,Beige,Beige,240.0,2.0,4.0
Genesis,gasoline,33600.0,no,26000.0,2017.0,White,Beige,420.0,5.0,8.0
Saturn,gasoline,18500.0,no,15020.0,2008.0,Silver,Red,173.0,2.4,4.0
Mercedes-Benz,gasoline,36000.0,yes,115000.0,2013.0,Black,Black,429.0,4.6,8.0
Porsche,gasoline,63500.0,no,28500.0,2005.0,Silver,Black,355.0,3.8,6.0
Mercedes-Benz,gasoline,32000.0,no,51700.0,2018.0,White,Black,375.0,2.0,4.0
Ford,gasoline,3900.0,no,148949.0,2008.0,Blue,Beige,263.0,3.5,6.0
BMW,gasoline,31750.0,yes,39300.0,2018.0,White,Beige,320.0,3.0,6.0
Honda,gasoline,28500.0,no,82323.0,2008.0,Black,Black,237.0,2.2,4.0
Ford,gasoline,12749.0,no,109357.0,2001.0,Green,Beige,310.0,6.8,10.0
Mercedes-Benz,gasoline,18853.0,no,46000.0,2004.0,White,Gray,302.0,5.0,8.0
Mercedes-Benz,gasoline,104999.0,yes,123112.0,2007.0,Silver,Black,382.0,5.5,8.0
INFINITI,gasoline,16900.0,no,37100.0,2007.0,Gray,Black,306.0,3.5,6.0
Volkswagen,gasoline,14500.0,no,89000.0,2016.0,Silver,Black,210.0,2.0,4.0
Lincoln,gasoline,47999.0,yes,67073.0,2019.0,Black,Black,450.0,3.5,6.0
Maserati,gasoline,24900.0,yes,28700.0,2015.0,White,Red,404.0,3.0,6.0
Mercedes-Benz,gasoline,108900.0,no,41000.0,2018.0,Gray,Black,563.0,5.5,8.0
Volkswagen,gasoline,5000.0,no,123815.0,2012.0,Black,Gray,283.0,3.6,6.0
Land,gasoline,9900.0,no,114287.0,2008.0,Black,Black,400.0,4.2,8.0
Acura,gasoline,14500.0,no,75000.0,2015.0,Gold,Beige,150.0,2.0,4.0
BMW,gasoline,36800.0,no,45800.0,2016.0,Gold,Black,560.0,4.4,8.0
BMW,gasoline,35000.0,yes,70582.0,2016.0,Black,White,300.0,3.0,6.0
Porsche,gasoline,49750.0,no,33088.0,2014.0,Black,Black,325.0,3.4,6.0
Lincoln,hybrid,49000.0,no,1850.0,2021.0,Silver,Beige,266.0,2.5,4.0
Cadillac,gasoline,10500.0,no,94155.0,2008.0,White,Beige,275.0,4.6,8.0
Cadillac,gasoline,17999.0,no,25000.0,2016.0,Red,Beige,335.0,3.6,6.0
GMC,gasoline,27995.0,no,99500.0,2016.0,Gray,Black,355.0,5.3,8.0
INFINITI,gasoline,8750.0,no,158564.0,2009.0,Blue,Beige,328.0,3.7,6.0
Ford,gasoline,78499.0,no,20000.0,2023.0,Black,Black,310.0,3.5,6.0
Cadillac,gasoline,20850.0,yes,46711.0,2018.0,Silver,Black,304.0,3.6,6.0
Nissan,gasoline,41000.0,no,46496.0,2017.0,Black,Gray,375.0,5.6,8.0
Mercedes-Benz,gasoline,53800.0,no,19800.0,2019.0,Silver,Black,362.0,3.0,6.0
Toyota,gasoline,37900.0,yes,175000.0,2008.0,Black,Beige,381.0,5.7,8.0
Toyota,gasoline,63500.0,no,61500.0,2016.0,White,Black,381.0,5.7,8.0
RAM,gasoline,65000.0,no,49750.0,2016.0,Black,Gray,280.0,3.6,6.0
Lamborghini,gasoline,100000.0,no,38800.0,2007.0,Orange,Orange,493.0,5.0,10.0
Lincoln,gasoline,8995.0,no,83765.0,2011.0,Black,Black,263.0,3.5,6.0
Lamborghini,gasoline,257000.0,no,13692.0,2021.0,Black,Red,641.0,4.0,8.0
INFINITI,gasoline,15000.0,yes,60058.0,2013.0,White,Beige,328.0,3.7,6.0
Maserati,gasoline,33950.0,no,54423.0,2017.0,Black,Black,424.0,3.0,6.0
Ford,gasoline,94999.0,no,2050.0,2022.0,Gray,Black,760.0,5.2,8.0
Lincoln,gasoline,46995.0,no,64855.0,2019.0,Silver,Beige,450.0,3.5,6.0
Lincoln,gasoline,14900.0,no,36524.0,2004.0,Black,Black,239.0,4.6,8.0
Honda,gasoline,3900.0,no,224000.0,2003.0,Black,Gray,160.0,2.4,4.0
Mercedes-Benz,gasoline,26000.0,no,80581.0,2014.0,Gray,Beige,402.0,4.7,8.0
Porsche,gasoline,63000.0,no,6700.0,2019.0,Gray,Black,300.0,2.0,4.0
Ford,gasoline,22500.0,no,143000.0,2015.0,Silver,Gray,275.0,3.7,6.0
INFINITI,gasoline,16500.0,no,116451.0,2010.0,White,Gray,328.0,3.7,6.0
Nissan,gasoline,27900.0,no,53677.0,2019.0,Red,Gray,390.0,5.6,8.0
Audi,hybrid,77500.0,no,12000.0,2021.0,Gray,Black,444.0,2.9,6.0
Ford,diesel,68000.0,no,32000.0,2020.0,Black,Black,210.0,2.0,4.0
INFINITI,gasoline,19995.0,no,70312.0,2014.0,Black,Black,330.0,3.7,6.0
Jeep,gasoline,54000.0,no,8794.0,2022.0,White,Black,285.0,3.6,6.0
Lincoln,gasoline,5900.0,yes,156000.0,2010.0,Black,Black,265.0,3.5,6.0
Mercedes-Benz,gasoline,34250.0,yes,67100.0,2018.0,Gray,Black,362.0,3.0,6.0
Porsche,gasoline,37000.0,yes,52000.0,2014.0,Blue,Beige,275.0,2.7,6.0
Acura,gasoline,12000.0,no,137200.0,2011.0,White,Gray,300.0,3.7,6.0
Volkswagen,gasoline,32000.0,yes,36000.0,2018.0,White,Black,292.0,2.0,4.0
Kia,gasoline,24500.0,yes,15500.0,2023.0,White,Black,147.0,2.0,4.0
BMW,hybrid,86999.0,no,846.0,2015.0,White,White,357.0,1.5,3.0
Lincoln,gasoline,27500.0,no,37375.0,2017.0,Blue,Brown,400.0,3.0,6.0
Porsche,gasoline,69000.0,yes,9500.0,2019.0,Red,Black,350.0,2.5,4.0
Chevrolet,gasoline,16000.0,no,143095.0,2005.0,Red,Black,400.0,6.0,8.0
Acura,gasoline,8500.0,yes,80000.0,2002.0,Beige,Beige,200.0,2.0,4.0
Ferrari,gasoline,275000.0,no,3000.0,2021.0,Blue,Brown,611.0,3.9,8.0
Porsche,gasoline,45000.0,no,5856.0,2007.0,Black,Black,295.0,3.4,6.0
Mercedes-Benz,hybrid,144664.0,no,4102.0,2022.0,Black,Black,603.0,4.0,8.0
Honda,gasoline,38500.0,no,14442.0,2021.0,White,Beige,280.0,3.5,6.0
Mercedes-Benz,gasoline,12995.0,no,64000.0,2005.0,Silver,Black,302.0,5.0,8.0
Lexus,gasoline,10000.0,yes,154000.0,2004.0,White,Beige,235.0,4.7,8.0
Lexus,gasoline,27000.0,no,54000.0,2015.0,White,Black,235.0,2.0,4.0
Dodge,gasoline,6000.0,yes,232492.0,2007.0,Silver,Gray,210.0,3.7,6.0
Mercedes-Benz,gasoline,46900.0,no,71962.0,2018.0,White,Black,469.0,4.0,8.0
Subaru,gasoline,29990.0,no,5800.0,2023.0,Black,Black,228.0,2.4,4.0
BMW,gasoline,28499.0,no,40080.0,2016.0,Black,Black,315.0,3.0,6.0
Kia,gasoline,36500.0,yes,57000.0,2020.0,Black,Red,365.0,3.3,6.0
Subaru,gasoline,9999.0,yes,122000.0,2004.0,Gold,Black,210.0,2.5,4.0
BMW,gasoline,40500.0,yes,62500.0,2016.0,Black,Orange,425.0,3.0,6.0
Hyundai,gasoline,17500.0,no,72000.0,2013.0,Silver,Black,429.0,5.0,8.0
BMW,gasoline,53000.0,no,40000.0,2020.0,Blue,Black,523.0,4.4,8.0
Subaru,gasoline,30000.0,yes,77000.0,2014.0,Gray,Black,305.0,2.5,4.0
Hyundai,gasoline,9800.0,no,800.0,2013.0,Black,Gray,132.0,1.6,4.0
Maserati,gasoline,41900.0,no,45000.0,2015.0,Black,Black,454.0,4.7,8.0
INFINITI,gasoline,8500.0,yes,137000.0,2011.0,Gray,Brown,420.0,5.6,8.0
Chevrolet,gasoline,73900.0,yes,4000.0,2023.0,Black,Red,490.0,6.2,8.0
Lexus,gasoline,38000.0,no,52100.0,2018.0,White,Beige,301.0,4.6,8.0
BMW,gasoline,10795.0,no,50100.0,2014.0,Brown,Beige,240.0,2.0,4.0
Alfa,gasoline,32400.0,no,41000.0,2020.0,White,Black,280.0,2.0,4.0
RAM,gasoline,34000.0,no,70968.0,2021.0,Black,Black,395.0,5.7,8.0
BMW,gasoline,53000.0,no,26600.0,2015.0,White,Blue,425.0,3.0,6.0
Volvo,gasoline,18000.0,no,95000.0,2018.0,White,Beige,250.0,2.0,4.0
Subaru,gasoline,19500.0,no,94000.0,2005.0,Black,Blue,300.0,2.5,4.0
Cadillac,gasoline,11000.0,no,110000.0,2014.0,Gold,Beige,272.0,2.0,4.0
Genesis,gasoline,27500.0,no,63500.0,2017.0,Silver,Black,420.0,5.0,8.0
Mercedes-Benz,gasoline,18000.0,yes,21500.0,2009.0,Black,Black,268.0,3.5,6.0
Mercedes-Benz,diesel,45900.0,yes,16813.0,2019.0,Gray,Black,188.0,3.0,6.0
BMW,gasoline,29500.0,yes,18200.0,2020.0,White,Beige,228.0,2.0,4.0
Audi,gasoline,102000.0,yes,51000.0,2015.0,White,Black,550.0,5.2,10.0
Audi,gasoline,42800.0,no,16400.0,2018.0,Blue,Red,292.0,2.0,4.0
Audi,gasoline,20000.0,yes,68000.0,2016.0,White,Black,252.0,2.0,4.0
BMW,gasoline,8995.0,no,83000.0,2007.0,Black,Brown,230.0,3.0,6.0
Audi,gasoline,50000.0,no,25000.0,2018.0,Gray,Black,354.0,3.0,6.0
BMW,gasoline,17200.0,no,125450.0,2014.0,Blue,Black,320.0,3.0,6.0
Chevrolet,gasoline,22000.0,no,144000.0,2008.0,White,Gray,323.0,6.0,8.0
Audi,gasoline,14000.0,yes,126760.0,2015.0,Black,Black,211.0,2.0,4.0
Subaru,gasoline,20500.0,no,100680.0,2017.0,Brown,Black,256.0,3.6,6.0
Mitsubishi,gasoline,4495.0,no,90400.0,2001.0,Red,Gray,140.0,2.4,4.0
BMW,gasoline,67000.0,no,20500.0,2018.0,Silver,Black,600.0,4.4,8.0
Dodge,gasoline,10500.0,yes,134000.0,2011.0,Black,Gray,390.0,5.7,8.0
Ford,hybrid,10000.0,yes,84352.0,2015.0,Blue,Black,188.0,2.0,4.0
Toyota,hybrid,71000.0,no,19000.0,2022.0,Orange,Black,437.0,3.4,6.0
Land,gasoline,17500.0,no,115550.0,2015.0,White,Black,240.0,2.0,4.0
Lincoln,gasoline,9750.0,yes,191775.0,2009.0,White,Beige,310.0,5.4,8.0
Mercedes-Benz,diesel,75000.0,no,124630.0,2017.0,Black,Black,188.0,3.0,6.0
Mercedes-Benz,gasoline,95000.0,no,17000.0,2019.0,White,Brown,603.0,4.0,8.0
BMW,gasoline,32000.0,no,73500.0,2018.0,Black,Blue,320.0,3.0,6.0
Acura,gasoline,5500.0,yes,120000.0,1998.0,Red,Blue,140.0,1.8,4.0
BMW,gasoline,40999.0,no,29500.0,2014.0,Silver,Black,560.0,4.4,8.0
Lexus,gasoline,120990.0,no,1185.0,2023.0,Black,Black,409.0,3.4,6.0
INFINITI,gasoline,11500.0,no,143250.0,2015.0,Silver,Black,328.0,3.7,6.0
BMW,gasoline,11500.0,yes,46508.0,2006.0,Green,Beige,215.0,3.0,6.0
BMW,gasoline,59549.0,no,18651.0,2015.0,Red,Black,560.0,4.4,8.0
BMW,gasoline,29995.0,no,57550.0,2015.0,Black,White,240.0,2.0,4.0
Cadillac,gasoline,60999.0,no,48600.0,2017.0,Black,Black,640.0,6.2,8.0
Ford,gasoline,18000.0,no,119000.0,2020.0,White,Black,169.0,2.5,4.0
Land,gasoline,72000.0,no,36500.0,2020.0,White,Red,550.0,5.0,8.0
Lexus,gasoline,13250.0,yes,121250.0,2010.0,Black,White,204.0,2.5,6.0
BMW,hybrid,78350.0,no,2437.0,2023.0,Gray,Black,375.0,3.0,6.0
Volvo,gasoline,22000.0,yes,110380.0,2018.0,Gray,Beige,316.0,2.0,4.0
Hyundai,gasoline,3850.0,no,149000.0,2008.0,Black,Gray,173.0,2.7,6.0
Mercedes-Benz,gasoline,39000.0,yes,39000.0,2017.0,White,Black,362.0,3.0,6.0
Audi,gasoline,91500.0,no,41856.0,2020.0,Gray,Black,591.0,4.0,8.0
Toyota,hybrid,33000.0,no,54000.0,2019.0,Gray,Gray,219.0,2.5,4.0
Alfa,gasoline,53900.0,no,26500.0,2019.0,Gray,Black,505.0,2.9,6.0
Cadillac,gasoline,22999.0,no,99000.0,2007.0,Black,Black,403.0,6.2,8.0
Nissan,gasoline,9950.0,no,130307.0,2005.0,Blue,Black,287.0,3.5,6.0
Subaru,gasoline,7600.0,no,178000.0,2010.0,Blue,Black,170.0,2.5,4.0
Honda,gasoline,3000.0,yes,160265.0,2003.0,White,Gray,115.0,1.7,4.0
McLaren,gasoline,185000.0,no,8700.0,2020.0,Black,Black,562.0,3.8,8.0
Maserati,gasoline,36000.0,no,1000.0,2016.0,Gray,Red,404.0,3.0,6.0
Maserati,gasoline,27995.0,no,49750.0,2017.0,White,Red,404.0,3.0,6.0
Lexus,gasoline,6348.0,no,121000.0,2002.0,Silver,Black,220.0,3.0,6.0
Lincoln,gasoline,2000.0,no,140000.0,2005.0,Black,Beige,302.0,4.6,8.0
Ford,gasoline,21500.0,no,66770.0,2018.0,Red,Black,169.0,2.5,4.0
Lincoln,gasoline,21000.0,no,38100.0,2016.0,Silver,Beige,365.0,3.5,6.0
Toyota,gasoline,5000.0,no,138071.0,2010.0,Red,Gray,106.0,1.5,4.0
Mercedes-Benz,gasoline,72000.0,yes,40000.0,2019.0,Black,Black,603.0,4.0,8.0
Mercedes-Benz,gasoline,127899.0,yes,47850.0,2019.0,White,Black,416.0,4.0,8.0
Hyundai,gasoline,11000.0,no,128000.0,2014.0,Blue,Red,201.0,1.6,4.0
Mercedes-Benz,hybrid,99900.0,no,4700.0,2021.0,Black,Black,496.0,4.0,8.0
Mazda,gasoline,12900.0,yes,96680.0,1999.0,Green,Beige,140.0,1.8,4.0
Mercedes-Benz,gasoline,33999.0,yes,53500.0,2017.0,White,Brown,362.0,3.0,6.0
Chevrolet,gasoline,47500.0,no,11025.0,2007.0,Orange,Black,505.0,7.0,8.0
Ford,diesel,73000.0,yes,44000.0,2021.0,White,Brown,475.0,6.7,8.0
Volkswagen,gasoline,27900.0,no,11000.0,2022.0,Blue,White,184.0,2.0,4.0
BMW,gasoline,16000.0,no,103000.0,2012.0,Black,Black,407.0,4.4,8.0
BMW,gasoline,128995.0,no,456.0,2024.0,Black,Black,543.0,3.0,6.0
Lexus,gasoline,37300.0,no,64000.0,2018.0,Red,Brown,301.0,4.6,8.0
Audi,gasoline,25999.0,no,108000.0,2017.0,Gray,Brown,333.0,3.0,6.0
Alfa,gasoline,26600.0,yes,37045.0,2018.0,White,Red,280.0,2.0,4.0
BMW,gasoline,44950.0,no,65800.0,2015.0,White,Red,425.0,3.0,6.0
Rolls-Royce,gasoline,314900.0,no,850.0,2021.0,White,White,563.0,6.7,12.0
Lexus,gasoline,11400.0,yes,107818.0,2011.0,Gray,Beige,204.0,2.5,6.0
Land,gasoline,19000.0,no,79500.0,2016.0,White,Black,240.0,2.0,4.0
Ferrari,gasoline,124990.0,yes,20000.0,2015.0,Red,Brown,553.0,3.9,8.0
Lexus,gasoline,63997.0,no,37000.0,2018.0,Black,Red,471.0,5.0,8.0
